Country FR,Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Somalie,Somalia,Densité de la population (personnes par kilomètre carré de superficie des terres),14.089190869385,14.6626916823413,15.2231054930341,15.7955128000765,16.3882392323142,16.9672394554787,17.4953007938279,18.0485574010903,18.5913284662225,19.0665364873912,19.5456307584404,19.6844294959671,19.8634871042816,20.5145439474607,21.2635747760385,22.0087400771511,22.8723499218924,23.7775831287659,24.6317578984283,25.5538798737527,26.5425303663085,27.5312127395033,28.3767924889215,
Serbie,Serbia,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,84.742385090327,84.3994854790761,84.0409558655385,83.7046306883147,83.3688085982163,82.740898696547,82.3404642122113,81.9409215641436,81.5434141321747,81.1271781385776,80.7034301394923,80.275074319689,79.8376857992225,79.4104161902584,82.0445475086217,81.2739445831847,79.2537638244738,
Afrique subsaharienne (hors revenu élevé),Sub-Saharan Africa (excluding high income),Densité de la population (personnes par kilomètre carré de superficie des terres),32.0628119360682,32.9320491178094,33.8298933318883,34.7552256537155,35.4646102783671,36.446864554257,37.4568344944676,38.4990860027421,39.5786562645128,40.6861481157146,41.8216595648747,42.9835450605992,39.5506037535769,40.6498915583833,41.7686948425158,42.9108165543221,44.0648951294338,45.2418045402053,46.4579292837463,47.6850939690629,48.9283133725436,50.1838606702405,51.4469631683754,
Soudan du Sud,South Sudan,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,,17.0212523539,17.6701137784248,17.7789834317092,17.5772015887836,17.1381355529885,16.234636747741,16.0191429430475,16.4945231275616,16.9298292532401,17.1945943379805,17.4405029038026,
Afrique subsaharienne,Sub-Saharan Africa,Densité de la population (personnes par kilomètre carré de superficie des terres),32.0659370659859,32.9351587662032,33.8331022200947,34.7583701557021,35.4677033765066,36.4499544276781,37.4599840891478,38.5022334196632,39.5818703722332,40.6893543903356,41.8249568816647,42.9867084755922,39.5535383299947,40.6528738701164,41.7717146368414,42.9139005765658,44.068009585861,45.2449451429594,46.4610849355483,47.6882621146341,48.9314926208051,50.1870490616922,51.4509903312293,
Petits états,Small states,Densité de la population (personnes par kilomètre carré de superficie des terres),20.9631495410016,21.3088165923071,21.6906654129945,22.0209531866724,22.3623077476192,22.6654914610332,22.5733277305432,22.9178490992675,23.2448365465043,23.5779811665697,23.8766792725657,24.053643736237,24.3054137028488,24.5698784737076,24.898222139921,25.2267607636601,25.5490735618623,25.9424885931873,26.2195916033963,26.4698386670191,26.6923664748128,26.9727223771258,27.283552144992,
Sao Tomé-et-Principe,Sao Tome and Principe,Densité de la population (personnes par kilomètre carré de superficie des terres),150.01875,152.473958333333,156.16875,160.222916666667,164.276041666667,168.373958333333,172.539583333333,176.770833333333,181.034375,185.263541666667,189.377083333333,193.384375,197.332291666667,201.195833333333,204.965625,208.636458333333,212.176041666667,215.59375,218.944791666667,222.283333333333,226.494791666667,231.209375,235.734375,
Suriname,Suriname,Densité de la population (personnes par kilomètre carré de superficie des terres),2.96959751627976,3.03138274876811,3.09362901858672,3.15507781842867,3.20186064698116,3.23544160927946,3.27085426043039,3.30835404003586,3.34716216882178,3.3865559396218,3.42614907791599,3.46568614410245,3.50533535450438,3.54512786029273,3.58470853811854,3.62367242275927,3.66186375836012,3.69897103321145,3.73510639152873,3.77407650640365,3.81487831013121,3.84963678669192,3.88245766041872,
République slovaque,Slovak Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),112.031600831601,111.826756756757,111.786112266112,111.689336936188,111.689812889813,111.700769230769,111.705904365904,111.738503118503,111.834365904366,112.006778956124,112.108876920838,112.260522375645,112.451734320413,112.572637664282,112.700686356073,112.803148787488,112.953369384359,113.128785357737,113.285586522463,113.43899750416,113.536335274542,113.295486688852,112.973211314476,
Slovénie,Slovenia,Densité de la population (personnes par kilomètre carré de superficie des terres),98.7549652432969,98.9106256206554,99.0332671300894,99.0929990069513,99.156504468719,99.3284011916584,99.6458788480636,100.204667328699,100.332370372576,101.245371243634,101.685826607499,101.898292465005,102.114049151928,102.281678252234,102.382323733863,102.446109241111,102.52417833383,102.610871929328,102.992292564709,103.711934605987,104.408881428657,104.689964442502,104.888460698039,
Suède,Suede,Densité de la population (personnes par kilomètre carré de superficie des terres),21.7806145583158,21.8391676529442,21.9103563929565,21.9920351490414,22.0786999155742,22.1671788927031,22.2922170365422,22.4581399750626,22.6337796193202,22.8274214371936,23.0228627359425,23.1973780115221,23.3696200002111,23.5684835040631,23.8034986523533,24.0582617728817,24.362449750883,24.6929419766692,24.9814588688378,25.2378879395011,25.4209438224317,25.5740792575133,25.7487256923983,
Eswatini,Eswatini,Densité de la population (personnes par kilomètre carré de superficie des terres),60.5473255813953,61.1083720930233,61.5954069767442,62.0174418604651,62.3929651162791,62.7338372093023,63.0486046511628,63.4130813953488,63.8425,64.2530813953488,64.6308139534884,64.9902906976744,65.3408720930233,65.6970930232558,66.0638953488372,66.4426162790698,66.8318023255814,67.3369186046512,67.960988372093,68.5973255813954,69.3447093023256,70.1507558139535,70.8672674418605,
Sint Maarten (Dutch part),Sint Maarten (Dutch part),Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,1007.85294117647,1030.08823529412,1054.52941176471,1078.58823529412,1102.08823529412,1124.97058823529,1146.94117647059,1168,1187.79411764706,1206.11764705882,1222.67647058824,1239.38235294118,
Seychelles,Seychelles,Densité de la population (personnes par kilomètre carré de superficie des terres),176.371739130435,176.526086956522,182.00652173913,179.958695652174,179.29347826087,180.126086956522,183.913043478261,184.854347826087,189.034782608696,189.778260869565,195.152173913043,190.089130434783,191.963043478261,195.541304347826,198.60652173913,203.084782608696,205.819565217391,208.354347826087,210.352173913043,212.228260869565,214.047826086957,215.778260869565,260.604347826087,
République arabe syrienne,Syrian Arab Republic,Densité de la population (personnes par kilomètre carré de superficie des terres),90.5315485907063,92.7812493198389,95.0502339754054,97.4415599978212,99.8903687966443,102.490009260772,106.937983989544,113.723181224134,117.820540187323,119.674194075365,122.433267984534,124.58801938681,123.943598540543,117.99225072156,110.404939280074,105.781288460491,104.524500353973,104.692414093558,106.615721831945,110.839917224854,114.629575777378,117.784888090181,121.299321190747,
Îles Turques-et-Caïques,Turks and Caicos Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),19.7157894736842,20.6063157894737,21.6810526315789,22.8705263157895,24.0589473684211,25.2505263157895,26.4452631578947,27.6526315789474,28.8705263157895,30.0926315789474,31.3042105263158,32.4694736842105,33.8178947368421,35.4242105263158,36.8947368421053,38.5315789473684,40.3315789473684,42.0136842105263,43.7463157894737,45.4378947368421,46.7221052631579,47.6242105263158,48.26,
Tchad,Chad,Densité de la population (personnes par kilomètre carré de superficie des terres),6.75992137865311,6.99183926302414,7.23966963151207,7.53481019695044,7.87804637865311,8.20210609911055,8.50256035578145,8.80055590851334,9.11395806861499,9.44548443456163,9.77809323379924,10.1294448856417,10.4915803684879,10.8728391041931,11.2680098475222,11.6324817344346,12.0033791296061,12.4068924714104,12.830790184244,13.2506535895807,13.6790652795426,14.1584124841169,14.6563818297332,
Asie de l’Est et Pacifique (BIRD et IDA),East Asia and the Pacific (IBRD and IDA),Densité de la population (personnes par kilomètre carré de superficie des terres),113.239732891779,114.318114989172,115.348226976538,116.282856429,117.237609924872,118.165527105702,119.089234291532,120.039884645085,120.985207739425,121.905557589463,122.815438556154,123.785798668121,124.878776695313,125.964807846466,126.996322772836,127.975847866414,128.943356299366,129.92920605548,130.770644859426,131.494477158156,132.090022057767,132.37999364036,132.689192865033,
Europe et Asie centrale (BIRD et IDA),Europe and Central Asia (IBRD and IDA),Densité de la population (personnes par kilomètre carré de superficie des terres),19.1530449041394,19.1397285734501,19.1278967075025,19.1321551772837,19.1418948060921,19.1504483652925,19.0859930493063,19.0846907840945,19.1312337095341,19.1995948770159,19.2706355617002,19.3537138333955,19.4466952863493,19.5480739093927,19.6528117528024,19.7490260505037,19.8502653464716,19.9448304057414,20.0322657572189,20.1218965035946,20.1830037850315,20.1776623671334,20.0754364569861,
Togo,Togo,Densité de la population (personnes par kilomètre carré de superficie des terres),94.5033462033462,97.0285346571061,99.5270086412944,102.08065820923,104.734473248759,107.457823129252,110.510535024821,113.777238462953,117.095274866703,120.46083838941,123.783599926457,127.164441993013,130.55223386652,133.948189005332,137.386468100754,140.893454679169,144.480400808972,148.136422136422,151.843684500827,155.599705828277,159.399154256297,163.235502849789,167.121492921493,
Thaïlande,Thailand,Densité de la population (personnes par kilomètre carré de superficie des terres),123.329513202451,124.58873925894,125.793100275989,126.970905674411,128.1137759596,129.220419268336,130.297494568302,131.344113214195,132.356926148486,133.338057116013,134.235250249564,135.072536162383,135.912031944254,136.712626984282,137.439305917125,138.07433106931,138.698821664155,139.286709467791,139.709289670966,139.995441288731,140.228785061364,140.396821233534,140.412474309538,
Tadjikistan,Tajikistan,Densité de la population (personnes par kilomètre carré de superficie des terres),44.903793941126,45.780058588168,46.6681123178051,47.5748428122321,48.517769362675,49.4764218348099,50.425593026579,51.4038082309231,52.4321448985424,53.5169334095456,54.6737710774507,55.9072949414118,57.2598170905973,58.7076593312375,60.7089475883735,62.2799913538439,63.8780243533396,65.4654225808776,67.060544707832,68.6646444268319,70.2450464730888,71.8128683622739,73.3642337344189,
Turkménistan,Turkmenistan,Densité de la population (personnes par kilomètre carré de superficie des terres),9.75182899580789,9.94916051326793,10.1493094716234,10.3501904538974,10.5507054242121,10.7510842040304,10.9529185197795,11.1592066903581,11.3740961419786,11.6008597025089,11.8408188453599,12.0941778562765,12.3604494286383,12.6387781158896,12.9280594982231,13.2270125337816,13.5340178324431,13.8468729385228,14.1627987147022,14.4786329878918,14.7892494626859,15.0917008916222,15.3856808460835,
Amérique latine et Caraïbes (BIRD et IDA),Latin America and the Caribbean (IBRD and IDA),Densité de la population (personnes par kilomètre carré de superficie des terres),25.3309386607104,25.695108937092,26.0501619925308,26.3968363338717,26.7366789597499,27.0696545262619,27.4018628690075,27.7328975330975,28.0626989258994,28.3883302401452,28.7079897400323,29.0267758338296,29.3456982827995,29.6612633119693,29.9735385054324,30.2781963771345,30.5756789555618,30.8648395091605,31.1407608410961,31.4016447900623,31.631770581189,31.8231317642983,32.0247780918987,
Timor-Leste,Timor-Leste,Densité de la population (personnes par kilomètre carré de superficie des terres),50.1067921990585,54.6233355749832,59.122999327505,61.6595830531271,62.4797579018157,63.7734364492266,65.6756556825824,67.5782784129119,69.4303295225286,71.2025554808339,72.9441156691325,74.660860793544,76.3204438466712,77.9216543375925,79.4823806321453,81.0444519166106,82.6033624747814,84.1763954270343,85.8075991930061,87.4878950907868,89.1763954270343,90.7961667787492,92.0843981170141,
Afrique du Nord et Moyen-Orient (BIRD et IDA),North Africa and Middle East (IBRD and IDA),Densité de la population (personnes par kilomètre carré de superficie des terres),32.9997169457462,33.6505390186526,34.2518195352585,34.8807313958644,35.6038004285858,36.3594751386652,37.1213109402079,37.8500640210795,38.5641080231263,39.3162595958204,40.0783231772987,40.8406093157589,41.6154037052735,42.429069116769,43.2345748753803,44.0019584093653,44.7745520041589,45.5856546366944,46.3802610534084,47.1847285545201,47.939102818542,48.6807806812123,49.4979244122932,
Tonga,Tonga,Densité de la population (personnes par kilomètre carré de superficie des terres),142.606944444444,143.455555555556,144.269444444444,145.088888888889,145.931944444444,146.765277777778,147.573611111111,148.230555555556,148.638888888889,148.893055555556,149.166666666667,149.402777777778,149.25,148.719444444444,148.068055555556,147.354166666667,146.561111111111,146.327777777778,146.620833333333,146.7625,146.811111111111,146.513888888889,145.891666666667,
Asie du Sud (BIRD et IDA),South Asia (IBRD and IDA),Densité de la population (personnes par kilomètre carré de superficie des terres),295.894493392532,301.658471325035,307.416552718313,313.074989471214,318.762132758968,324.200659324029,329.55598395874,334.808275799333,339.980490036884,345.259093215666,350.55726798055,355.7923397598,360.888568244418,365.621054478283,370.345010330234,374.935845563957,379.432237764921,383.944245231341,388.425257917824,392.876541856779,397.294856733164,401.303021517278,405.08185831803,
Afrique subsaharienne (BIRD et IDA),Sub-Saharan Africa (IBRD and IDA),Densité de la population (personnes par kilomètre carré de superficie des terres),32.0659370659859,32.9351587662032,33.8331022200947,34.7583701557021,35.4677033765066,36.4499544276781,37.4599840891478,38.5022334196632,39.5818703722332,40.6893543903356,41.8249568816647,42.9867084755922,39.5535383299947,40.6528738701164,41.7717146368414,42.9139005765658,44.068009585861,45.2449451429594,46.4610849355483,47.6882621146341,48.9314926208051,50.1870490616922,51.4509903312293,
Trinité-et-Tobago,Trinidad and Tobago,Densité de la population (personnes par kilomètre carré de superficie des terres),257.265886939571,258.395126705653,259.65126705653,260.956920077973,262.25730994152,252.338011695906,253.010526315789,254.032748538012,255.085185185185,255.381286549708,256.86432748538,258.873099415205,260.271734892788,261.317153996101,262.250097465887,263.09298245614,263.917153996101,264.450877192982,264.949902534113,265.884015594542,266.418128654971,266.580506822612,266.238791423002,
Tunisie,Tunisia,Densité de la population (personnes par kilomètre carré de superficie des terres),62.8535980947477,63.5277870751802,64.1832839855819,64.8277033985582,65.4361676107106,66.0110195674562,66.5963568486097,67.209719361483,67.8593910916581,68.554846807415,69.2969876416066,70.069741246138,70.865390061792,71.713188722966,72.5687950566426,73.3925334706488,74.2061920700309,74.9903321318229,75.7306513903193,76.4358972708548,77.0729724510814,77.5529222451081,78.0080715756952,
Turquie,Türkiye,Densité de la population (personnes par kilomètre carré de superficie des terres),85.0096293023921,86.0739939971155,87.1182191442641,88.1355066720372,89.1241466678794,90.0816717123813,91.0117186180372,91.1582344763068,92.3192677000637,93.6023881605447,95.0354715902447,96.4406649948677,97.6778802801346,98.9405610488157,100.284401595572,101.631276067721,103.007889505347,104.352348531112,105.774468250978,107.297584553617,108.343853540013,109.334768655068,110.416580694619,
Tuvalu,Tuvalu,Densité de la population (personnes par kilomètre carré de superficie des terres),318.133333333333,319.533333333333,320.766666666667,323.166666666667,327.2,331.333333333333,335.2,339.4,344.033333333333,348.7,353.8,359.333333333333,364.466666666667,366.7,366.133333333333,365.433333333333,364.333333333333,362.3,358.366666666667,352.7,346.633333333333,339.8,333.066666666667,
Tanzanie,Tanzania,Densité de la population (personnes par kilomètre carré de superficie des terres),38.6770591555656,39.7361695642357,40.7781711447279,41.8712519756153,43.022881011515,44.2335470760894,45.489841950779,46.7775028223075,48.0590742831339,49.2594061864981,50.5288868819147,51.9636114247008,53.4818920749605,55.1186814179273,56.8429803567397,58.7276608715286,60.7631666290359,62.8278279521337,64.842114472793,66.8038959132987,68.8335944908557,70.9306976744186,73.0546635809438,
Ouganda,Uganda,Densité de la population (personnes par kilomètre carré de superficie des terres),120.11485911616,123.846033732045,127.785746459136,131.885911616035,135.901681597518,139.949396927081,144.106916570742,148.408137730844,152.842965817527,157.405290025524,161.534021543986,166.340230400958,171.241960901656,176.227019748654,181.505779972073,187.170586475165,193.49267903451,200.365988430082,207.290200478755,214.440639337722,221.709315778975,228.959355675244,235.950124675843,
Ukraine,Ukraine,Densité de la population (personnes par kilomètre carré de superficie des terres),85.5383792180892,84.7619832570985,84.0219577450202,83.3968584941485,82.81752856699,82.131858193241,81.6050365921016,81.236597448777,80.8174670303114,80.480099081682,80.190573430919,79.9348425740523,79.7660291376096,79.6222640336947,79.3598715669181,79.0362271055948,78.7461064406429,78.432661833247,78.0271090783569,77.5931273731446,77.1142802899551,76.4560579910252,70.8470245081118,
"Revenu intermédiaire, tranche supérieure",Upper middle income,Densité de la population (personnes par kilomètre carré de superficie des terres),53.3646091379634,53.8799194107562,54.3680806379294,54.8345288800325,55.3144644813334,55.7947713064481,56.126047727093,56.5510824000715,57.0061724653431,57.4762759801598,57.9379623661531,58.4173304093305,58.9517417395571,59.4996555696316,60.0238658349333,60.526423465695,61.0120799089046,61.5135957216635,61.9756132650033,62.3920573512144,62.7343380637784,62.9656985774657,63.1293379310291,
Uruguay,Uruguay,Densité de la population (personnes par kilomètre carré de superficie des terres),18.6619014969718,18.707867672266,18.734241800937,18.7474917152325,18.7587018626443,18.773688721289,18.7950291395269,18.8272940235402,18.8674265798194,18.9126442692264,18.9611472974517,19.0082561992915,19.0572563135642,19.1140269683465,19.1768597874529,19.2436121586104,19.3079819449206,19.3602902525426,19.3951205576506,19.4103873842989,19.4204548051651,19.4074677179751,19.3744314935436,
États-Unis,UNITED STATES,Densité de la population (personnes par kilomètre carré de superficie des terres),30.7973013298523,31.1036283879362,31.3935499327652,31.6645346171981,31.9589450682826,32.2548765979183,32.5673998463204,32.8786113609374,33.2436868537795,33.5363992251367,33.8157800778799,34.0624439459432,34.3132448275033,34.5518131888554,34.8061342979769,35.0633286762825,35.3183471405052,35.5424948236771,35.7300964643583,35.8931756713915,36.2426709389095,36.2997410198723,36.4333780453942,
Ouzbékistan,Uzbekistan,Densité de la population (personnes par kilomètre carré de superficie des terres),56.8556053811659,57.5582699220712,58.2687291671924,58.9874184689718,59.7204791523748,60.4727210570633,61.2574119536538,62.1032147968733,63.0661816146635,64.0891121586439,65.1205023262643,66.1372206631804,67.1452569986232,68.207469669955,69.3523563008704,69.7897094870631,71.0059170523229,72.2198017195203,73.4780871882284,74.8253929702307,76.2200658118688,77.7112512566577,79.2892236957962,
Saint-Vincent-et-les Grenadines,Saint Vincent and the Grenadines,Densité de la population (personnes par kilomètre carré de superficie des terres),291.141025641026,291.028205128205,290.633333333333,290.105128205128,289.320512820513,288.333333333333,287.215384615385,285.976923076923,284.687179487179,283.353846153846,281.946153846154,280.382051282051,278.810256410256,277.269230769231,275.730769230769,274.25641025641,272.689743589744,270.930769230769,269.041025641026,267.094871794872,265.451282051282,263.694871794872,261.65641025641,
Venezuela,Venezuela,Densité de la population (personnes par kilomètre carré de superficie des terres),27.8064826257015,28.3203015702058,28.8369945014455,29.3551419987529,29.8632027662831,30.3676707669633,30.8652411994785,31.346707102772,31.8051085539369,32.2411405249136,32.6660631483476,33.0879337906014,33.5058398049997,33.9121342327532,34.2997324414716,34.662402358143,34.8797913950456,34.6525967915651,33.7935400487501,32.8077750694405,32.2476923076923,32.0138608922397,31.9857343688,
Îles Vierges britanniques,British Virgin Islands,Densité de la population (personnes par kilomètre carré de superficie des terres),134.94,138.64,142.866666666667,147.56,152.54,157.766666666667,163.286666666667,169.106666666667,175.253333333333,181.453333333333,184.5,191.4,202.3,211.353333333333,219.746666666667,229.986666666667,225.853333333333,217.993333333333,231.046666666667,242.633333333333,247.566666666667,252.06,255.46,
Îles Vierges (EU),Virgin Islands (EU),Densité de la population (personnes par kilomètre carré de superficie des terres),310.405714285714,310.14,310.025714285714,310.014285714286,309.902857142857,309.865714285714,309.625714285714,309.534285714286,309.705714285714,309.725714285714,309.591428571429,309.4,309.108571428571,308.688571428571,308.234285714286,307.748571428571,307.188571428571,306.517142857143,305.717142857143,304.768571428571,303.685714285714,302.485714285714,301.18,
Viet Nam,Vietnam,Densité de la population (personnes par kilomètre carré de superficie des terres),248.035784093101,250.632810440708,253.6539172436,256.599403360531,259.099464637017,259.203077001761,262.689291708627,267.577137683246,272.308076932914,276.440290060813,279.147229120251,282.390144405715,285.558644407367,289.364162813695,292.559228518274,296.1974772084,299.948999160782,303.688787280275,307.046632570694,310.034412897339,312.923153250018,315.653937574379,318.032648542413,
Vanuatu,Vanuatu,Densité de la population (personnes par kilomètre carré de superficie des terres),15.2814602132896,15.6711238720263,16.0675143560295,16.4680885972108,16.8753896636587,17.2895816242822,17.7131255127153,18.1522559474979,18.6132895816243,19.0919606234619,19.5445447087777,19.9732567678425,20.4169811320755,20.8762920426579,21.3486464315012,21.829450369155,22.3205086136177,22.8471698113208,23.4010664479081,23.9528301886792,24.5166529942576,25.0917145200984,25.6805578342904,
Monde,World,Densité de la population (personnes par kilomètre carré de superficie des terres),48.4403368014325,49.0950490660375,49.7438146593792,50.3867182636179,50.9801633276985,51.6309043730563,52.2501231744394,52.9127889056003,53.5938646504746,54.2693428705881,54.9317023017108,55.6023876358901,55.2222861819577,55.9117948984714,56.5938739810036,57.2661190908632,57.9316600077462,58.5935580491876,59.2271191516204,59.8458872365615,60.457542713275,61.0340346404782,61.5946178083236,
Samoa,Samoa,Densité de la population (personnes par kilomètre carré de superficie des terres),64.1996466431095,64.7229681978799,65.1840989399293,65.5229681978799,65.8123674911661,66.069964664311,66.3282685512367,66.6971731448763,67.1756183745583,67.6724381625442,68.2060070671378,68.8031802120141,69.4339222614841,70.0593639575972,70.6844522968198,71.3010600706714,71.9077738515901,73.8902877697842,74.6697841726619,75.4604316546763,76.2388489208633,76.8989208633094,77.4320143884892,
Kosovo,Kosovo,Densité de la population (personnes par kilomètre carré de superficie des terres),,,,,,,,,,,,,,,,,,,,,,,,
"Yémen, Rép. du","Yemen, Rep. of",Densité de la population (personnes par kilomètre carré de superficie des terres),37.1690455897115,38.3092732541622,39.4626323465348,40.6393904956721,41.8492849972536,43.1654923575203,44.5917059681421,46.0595905070364,47.5631967725439,49.1083281247041,50.6740667083357,52.2433035967953,53.8546640907627,55.5201090971078,57.2500501922458,59.0173286360967,60.8159743924844,62.6757599863629,64.5589370608179,66.5026573479554,68.4411292308275,70.3453415913783,72.395924010834,
Afrique du Sud,South Africa,Densité de la population (personnes par kilomètre carré de superficie des terres),38.8756967743531,39.2112703921391,39.584379559637,39.9808324196886,40.3856440989539,40.796670486114,41.2156369271859,41.6527908069476,42.1358670832337,42.6419441261572,43.1493549530538,43.6861279872062,44.3351828800831,45.0739771987239,45.8291124318888,46.7595454582925,47.2014038529705,47.5110354549127,48.3171083761304,49.1207453692636,49.9240625180325,50.6991261983859,51.4210899438624,
Zambie,Zambia,Densité de la population (personnes par kilomètre carré de superficie des terres),13.475606343911,13.8893245806373,14.3235031410162,14.7750104252142,15.2520184559921,15.7640256123973,16.3165404431052,16.9024132689436,17.5161409219925,18.1471219682804,18.7863624746096,19.4215633785765,20.0616486635548,20.7145603249976,21.3822018052435,22.0598730141648,22.7530946071376,23.4618706197285,24.1778460834824,24.9046113076582,25.6384872005273,26.3705551594721,27.1095091405588,
Zimbabwe,Zimbabwe,Densité de la population (personnes par kilomètre carré de superficie des terres),30.74073930464,30.947139718237,31.2463564689156,31.6203257076386,31.9656094093318,32.2694377665762,32.6649735039421,33.0982499676877,33.4991572961096,33.9738658394727,34.5264262634096,35.1439162466072,35.7189789324027,36.2254310456249,36.7257567532635,37.2211787514541,37.7414863642239,38.2899883675843,38.8637766576192,39.4762000775494,40.13671448882,40.8354917926845,41.5382086079876,
